~id,~label,~from,~to,~fromLabels,~toLabels,dist:int
"21369","route","189","3","airport","airport",1032
"21385","route","189","22","airport","airport",1689
"21401","route","189","180","airport","airport",1514
"21417","route","190","6","airport","airport",609
"21433","route","190","29","airport","airport",1255
"21449","route","190","151","airport","airport",1701
"21465","route","190","239","airport","airport",849
"21481","route","190","379","airport","airport",226
"21497","route","191","185","airport","airport",226
"21513","route","193","20","airport","airport",1035
"21529","route","193","187","airport","airport",341
"21545","route","194","17","airport","airport",616
"21561","route","195","1","airport","airport",1556
"21577","route","195","48","airport","airport",2202
"21593","route","196","23","airport","airport",2335
"21609","route","196","2393","airport","airport",28
"21624","route","198","49","airport","airport",312
"21640","route","198","76","airport","airport",276
"21656","route","198","110","airport","airport",1244
"21672","route","198","170","airport","airport",803
"21688","route","198","248","airport","airport",795
"21704","route","198","328","airport","airport",392
"21720","route","198","482","airport","airport",575
"21736","route","198","510","airport","airport",1072
"21752","route","198","553","airport","airport",1358
"21768","route","198","801","airport","airport",436
"21784","route","198","1387","airport","airport",612
"21800","route","199","160","airport","airport",2098
"21816","route","200","16","airport","airport",4962
"21832","route","200","74","airport","airport",1150
"21848","route","200","108","airport","airport",675
"21864","route","200","168","airport","airport",321
"21879","route","200","255","airport","airport",1373
"21895","route","200","451","airport","airport",631
"21911","route","200","510","airport","airport",948
"21927","route","200","799","airport","airport",377
"21943","route","200","3312","airport","airport",1408
"21959","route","201","101","airport","airport",1485
"21975","route","201","349","airport","airport",1345
"21991","route","201","2787","airport","airport",714
"22007","route","202","64","airport","airport",5996
"22023","route","202","92","airport","airport",1719
"22039","route","202","132","airport","airport",4927
"22055","route","202","206","airport","airport",998
"22071","route","202","329","airport","airport",812
"22087","route","202","499","airport","airport",601
"22103","route","202","847","airport","airport",1814
"22119","route","203","49","airport","airport",1085
"22134","route","204","75","airport","airport",841
"22150","route","204","161","airport","airport",1036
"22166","route","204","503","airport","airport",818
"22182","route","204","1728","airport","airport",205
"22198","route","205","51","airport","airport",6076
"22214","route","205","100","airport","airport",730
"22230","route","205","337","airport","airport",1120
"22246","route","205","677","airport","airport",949
"22262","route","205","705","airport","airport",1365
"22278","route","205","903","airport","airport",987
"22294","route","205","1519","airport","airport",521
"22310","route","206","74","airport","airport",800
"22326","route","206","140","airport","airport",903
"22342","route","206","230","airport","airport",864
"22358","route","206","473","airport","airport",589
"22374","route","206","507","airport","airport",1286
"22389","route","206","660","airport","airport",744
"22405","route","206","1270","airport","airport",774
"22421","route","207","71","airport","airport",2032
"22437","route","207","722","airport","airport",1847
"22453","route","208","5","airport","airport",1251
"22469","route","208","47","airport","airport",1293
"22485","route","208","603","airport","airport",1088
"22501","route","209","15","airport","airport",206
"22517","route","211","9","airport","airport",145
"22533","route","212","70","airport","airport",5656
"22549","route","212","682","airport","airport",389
"22565","route","212","2409","airport","airport",450
"22581","route","213","64","airport","airport",1095
"22597","route","213","212","airport","airport",280
"22613","route","213","687","airport","airport",407
"22629","route","213","779","airport","airport",519
"22644","route","214","67","airport","airport",1354
"22660","route","214","686","airport","airport",359
"22676","route","214","1034","airport","airport",841
"22692","route","215","59","airport","airport",2409
"22708","route","215","126","airport","airport",3381
"22724","route","215","286","airport","airport",720
"22740","route","215","730","airport","airport",5368
