~id,~label,~from,~to,~fromLabels,~toLabels
"52209","contains","3625","2723","country","airport"
"52224","contains","3573","2738","country","airport"
"52240","contains","3496","2754","country","airport"
"52256","contains","3547","2770","country","airport"
"52272","contains","3530","2786","country","airport"
"52288","contains","3611","2802","country","airport"
"52304","contains","3629","2818","country","airport"
"52320","contains","3536","2834","country","airport"
"52336","contains","3497","2850","country","airport"
"52352","contains","3497","2866","country","airport"
"52368","contains","3527","2882","country","airport"
"52384","contains","3497","2898","country","airport"
"52400","contains","3410","2914","country","airport"
"52416","contains","3410","2930","country","airport"
"52432","contains","3440","2946","country","airport"
"52448","contains","3440","2962","country","airport"
"52464","contains","3440","2978","country","airport"
"52495","contains","3623","3009","country","airport"
"52511","contains","3505","3025","country","airport"
"52527","contains","3440","3041","country","airport"
"52543","contains","3400","3057","country","airport"
"52559","contains","3626","3073","country","airport"
"52575","contains","3422","3089","country","airport"
"52591","contains","3502","3105","country","airport"
"52607","contains","3497","3121","country","airport"
"52623","contains","3435","3137","country","airport"
"52639","contains","3435","3153","country","airport"
"52655","contains","3426","3169","country","airport"
"52671","contains","3410","3185","country","airport"
"52687","contains","3471","3201","country","airport"
"52703","contains","3435","3217","country","airport"
"52719","contains","3435","3233","country","airport"
"52735","contains","3435","3249","country","airport"
"52750","contains","3573","3264","country","airport"
"52766","contains","3564","3280","country","airport"
"52782","contains","3440","3296","country","airport"
"52798","contains","3615","3312","country","airport"
"52814","contains","3440","3328","country","airport"
"52830","contains","3410","3344","country","airport"
"52846","contains","3620","3360","country","airport"
"52862","contains","3545","3376","country","airport"
"52878","contains","3524","3392","country","airport"
"49500","contains","3623","14","country","airport"
"49516","contains","3623","30","country","airport"
"49532","contains","3623","46","country","airport"
"49548","contains","3410","62","country","airport"
"49564","contains","3435","78","country","airport"
"49580","contains","3621","94","country","airport"
"49596","contains","3482","110","country","airport"
"49612","contains","3598","126","country","airport"
"49628","contains","3429","142","country","airport"
"49644","contains","3410","158","country","airport"
"49660","contains","3503","174","country","airport"
"49675","contains","3623","189","country","airport"
"49691","contains","3606","205","country","airport"
"49707","contains","3420","221","country","airport"
"49723","contains","3408","237","country","airport"
"49739","contains","3621","253","country","airport"
"49755","contains","3623","269","country","airport"
"49771","contains","3611","285","country","airport"
"49787","contains","3623","301","country","airport"
"49803","contains","3616","317","country","airport"
"49819","contains","3542","333","country","airport"
"49835","contains","3414","349","country","airport"
"49851","contains","3537","365","country","airport"
"49867","contains","3623","381","country","airport"
"49883","contains","3623","397","country","airport"
"49899","contains","3537","413","country","airport"
"49915","contains","3623","429","country","airport"
"49930","contains","3623","444","country","airport"
"49946","contains","3604","460","country","airport"
"49962","contains","3621","476","country","airport"
"49978","contains","3463","492","country","airport"
"49994","contains","3482","508","country","airport"
"50010","contains","3460","524","country","airport"
"50026","contains","3555","540","country","airport"
"50042","contains","3615","556","country","airport"
"50058","contains","3459","572","country","airport"
"50074","contains","3426","588","country","airport"
"50090","contains","3589","604","country","airport"
"50106","contains","3623","620","country","airport"
"50122","contains","3566","636","country","airport"
"50138","contains","3435","652","country","airport"
"50154","contains","3440","668","country","airport"
"50170","contains","3505","684","country","airport"
"50185","contains","3629","699","country","airport"
"50201","contains","3527","715","country","airport"
"50217","contains","3497","731","country","airport"
"50233","contains","3505","747","country","airport"
"50249","contains","3505","763","country","airport"
"50265","contains","3570","779","country","airport"
"50281","contains","3450","795","country","airport"
"50297","contains","3607","811","country","airport"
"50313","contains","3433","827","country","airport"
"50329","contains","3525","843","country","airport"
"50345","contains","3453","859","country","airport"
"50361","contains","3623","875","country","airport"
"50377","contains","3623","891","country","airport"
"50393","contains","3623","907","country","airport"
"50409","contains","3623","923","country","airport"
"50425","contains","3623","939","country","airport"
"50440","contains","3623","954","country","airport"
"50456","contains","3623","970","country","airport"
"50472","contains","3410","986","country","airport"
"50488","contains","3410","1002","country","airport"
"50504","contains","3556","1018","country","airport"
"50520","contains","3570","1034","country","airport"
"50536","contains","3537","1050","country","airport"
"50552","contains","3623","1066","country","airport"
"50568","contains","3623","1082","country","airport"
"50584","contains","3623","1098","country","airport"
"50600","contains","3623","1114","country","airport"
"50616","contains","3435","1130","country","airport"
"50632","contains","3497","1146","country","airport"
"50648","contains","3623","1162","country","airport"
"50664","contains","3499","1178","country","airport"
"50680","contains","3632","1194","country","airport"
"50695","contains","3595","1209","country","airport"
"50711","contains","3572","1225","country","airport"
"50727","contains","3623","1241","country","airport"
"50743","contains","3435","1257","country","airport"
"50759","contains","3623","1273","country","airport"
"50775","contains","3577","1289","country","airport"
"50791","contains","3473","1305","country","airport"
"50807","contains","3496","1321","country","airport"
"50823","contains","3496","1337","country","airport"
