~id,~label,~from,~to,~fromLabels,~toLabels
"55460","contains","3638","2577","continent","airport"
"55476","contains","3638","2593","continent","airport"
"55492","contains","3638","2609","continent","airport"
"55508","contains","3639","2625","continent","airport"
"55524","contains","3639","2641","continent","airport"
"55540","contains","3639","2657","continent","airport"
"55555","contains","3635","2672","continent","airport"
"55571","contains","3639","2688","continent","airport"
"55587","contains","3639","2704","continent","airport"
"55603","contains","3639","2720","continent","airport"
"55619","contains","3635","2736","continent","airport"
"55635","contains","3639","2752","continent","airport"
"55651","contains","3639","2768","continent","airport"
"55667","contains","3639","2784","continent","airport"
"55683","contains","3639","2800","continent","airport"
"55699","contains","3639","2816","continent","airport"
"55715","contains","3639","2832","continent","airport"
"55731","contains","3639","2848","continent","airport"
"55747","contains","3639","2864","continent","airport"
"55763","contains","3639","2880","continent","airport"
"55779","contains","3639","2896","continent","airport"
"55795","contains","3640","2912","continent","airport"
"55810","contains","3639","2927","continent","airport"
"55826","contains","3639","2943","continent","airport"
"55842","contains","3639","2959","continent","airport"
"55858","contains","3639","2975","continent","airport"
"55874","contains","3637","2991","continent","airport"
"55890","contains","3637","3007","continent","airport"
"55906","contains","3639","3023","continent","airport"
"55922","contains","3636","3039","continent","airport"
"55938","contains","3637","3055","continent","airport"
"55954","contains","3637","3071","continent","airport"
"55970","contains","3639","3087","continent","airport"
"55986","contains","3637","3103","continent","airport"
"56002","contains","3639","3119","continent","airport"
"56018","contains","3635","3135","continent","airport"
"56034","contains","3637","3151","continent","airport"
"56050","contains","3635","3167","continent","airport"
"56065","contains","3638","3182","continent","airport"
"56081","contains","3639","3198","continent","airport"
"56097","contains","3638","3214","continent","airport"
"56113","contains","3637","3230","continent","airport"
"56129","contains","3637","3246","continent","airport"
"56145","contains","3639","3262","continent","airport"
"56161","contains","3639","3278","continent","airport"
"56177","contains","3638","3294","continent","airport"
"56193","contains","3639","3310","continent","airport"
"56209","contains","3637","3326","continent","airport"
"56225","contains","3639","3342","continent","airport"
"56241","contains","3639","3358","continent","airport"
"56257","contains","3635","3374","continent","airport"
"56273","contains","3638","3390","continent","airport"
"52895","contains","3637","12","continent","airport"
"52911","contains","3637","28","continent","airport"
"52927","contains","3637","44","continent","airport"
"52943","contains","3635","60","continent","airport"
"52959","contains","3635","76","continent","airport"
"52975","contains","3635","92","continent","airport"
"52991","contains","3635","108","continent","airport"
"53006","contains","3637","123","continent","airport"
"53022","contains","3639","139","continent","airport"
"53038","contains","3639","155","continent","airport"
"53054","contains","3635","171","continent","airport"
"53070","contains","3637","187","continent","airport"
"53086","contains","3635","203","continent","airport"
"53102","contains","3637","219","continent","airport"
"53118","contains","3639","235","continent","airport"
"53134","contains","3635","251","continent","airport"
"53150","contains","3637","267","continent","airport"
"53166","contains","3637","283","continent","airport"
"53182","contains","3639","299","continent","airport"
